# X	Z
0.000000000000000000e+00	nan
1.000000000000000021e-02	9.901485136139233090e-01
2.000000000000000042e-02	9.805882156901950530e-01
2.999999999999999889e-02	9.713105813548902345e-01
4.000000000000000083e-02	9.623073848612925252e-01
5.000000000000000278e-02	9.535706854524184095e-01
5.999999999999999778e-02	9.450928140655240339e-01
7.000000000000000666e-02	9.368663608230100026e-01
8.000000000000000167e-02	9.288841632581076313e-01
8.999999999999999667e-02	9.211392952273935730e-01
1.000000000000000056e-01	9.136250564655354900e-01
1.100000000000000006e-01	9.063349627407673026e-01
1.199999999999999956e-01	8.992627365724408239e-01
1.300000000000000044e-01	8.924022984746358134e-01
1.400000000000000133e-01	8.857477586922342105e-01
1.499999999999999944e-01	8.792934093981167321e-01
1.600000000000000033e-01	8.730337173222181280e-01
1.700000000000000122e-01	8.669633167851068523e-01
1.799999999999999933e-01	8.610770031105449140e-01
1.900000000000000022e-01	8.553697263931456796e-01
2.000000000000000111e-01	8.498365855987974893e-01
2.099999999999999922e-01	8.444728229769565830e-01
2.200000000000000011e-01	8.392738187652593052e-01
2.300000000000000100e-01	8.342350861681526730e-01
2.399999999999999911e-01	8.293522665924155657e-01
2.500000000000000000e-01	8.246211251235320283e-01
2.600000000000000089e-01	8.200375462279041461e-01
2.700000000000000178e-01	8.155975296668454000e-01
2.800000000000000266e-01	8.112971866091980289e-01
2.899999999999999800e-01	8.071327359302506999e-01
2.999999999999999889e-01	8.031005006854269324e-01
3.099999999999999978e-01	7.991969047479530186e-01
3.200000000000000067e-01	7.954184696004052979e-01
3.300000000000000155e-01	7.917618112706921174e-01
3.400000000000000244e-01	7.882236374036354354e-01
3.500000000000000333e-01	7.848007444598922300e-01
3.599999999999999867e-01	7.814900150344954444e-01
3.699999999999999956e-01	7.782884152878013495e-01
3.800000000000000044e-01	7.751929924821061579e-01
3.900000000000000133e-01	7.722008726176405879e-01
4.000000000000000222e-01	7.693092581620719628e-01
4.100000000000000311e-01	7.665154258680364485e-01
4.199999999999999845e-01	7.638167246735914073e-01
4.299999999999999933e-01	7.612105736808281176e-01
4.400000000000000022e-01	7.586944602082035249e-01
4.500000000000000111e-01	7.562659379124588854e-01
4.600000000000000200e-01	7.539226249762747134e-01
4.700000000000000289e-01	7.516622023580754597e-01
4.799999999999999822e-01	7.494824121006512518e-01
4.899999999999999911e-01	7.473810556954891826e-01
5.000000000000000000e-01	7.453559924999298980e-01
5.100000000000000089e-01	7.434051382044608580e-01
5.200000000000000178e-01	7.415264633476510436e-01
5.300000000000000266e-01	7.397179918764043016e-01
5.400000000000000355e-01	7.379777997493699448e-01
5.500000000000000444e-01	7.363040135815049902e-01
5.600000000000000533e-01	7.346948093279180858e-01
5.700000000000000622e-01	7.331484110052587377e-01
5.799999999999999600e-01	7.316630894490342429e-01
5.899999999999999689e-01	7.302371611053484202e-01
5.999999999999999778e-01	7.288689868556625928e-01
6.099999999999999867e-01	7.275569708732685381e-01
6.199999999999999956e-01	7.262995595102581525e-01
6.300000000000000044e-01	7.250952402138509667e-01
6.400000000000000133e-01	7.239425404710161382e-01
6.500000000000000222e-01	7.228400267803977153e-01
6.600000000000000311e-01	7.217863036506100283e-01
6.700000000000000400e-01	7.207800126240324623e-01
6.800000000000000488e-01	7.198198313252844871e-01
6.900000000000000577e-01	7.189044725336110053e-01
7.000000000000000666e-01	7.180326832784531543e-01
7.099999999999999645e-01	7.172032439575195539e-01
7.199999999999999734e-01	7.164149674767145148e-01
7.299999999999999822e-01	7.156666984113079222e-01
7.399999999999999911e-01	7.149573121877694781e-01
7.500000000000000000e-01	7.142857142857143016e-01
7.600000000000000089e-01	7.136508394594355265e-01
7.700000000000000178e-01	7.130516509785227441e-01
7.800000000000000266e-01	7.124871398870872286e-01
7.900000000000000355e-01	7.119563242811352000e-01
8.000000000000000444e-01	7.114582486036498121e-01
8.100000000000000533e-01	7.109919829569564254e-01
8.200000000000000622e-01	7.105566224319652679e-01
8.300000000000000711e-01	7.101512864538968017e-01
8.399999999999999689e-01	7.097751181441089852e-01
8.499999999999999778e-01	7.094272836976587282e-01
8.599999999999999867e-01	7.091069717762386038e-01
8.699999999999999956e-01	7.088133929161427593e-01
8.800000000000000044e-01	7.085457789509239657e-01
8.900000000000000133e-01	7.083033824484120666e-01
9.000000000000000222e-01	7.080854761617741966e-01
9.100000000000000311e-01	7.078913524943029056e-01
9.200000000000000400e-01	7.077203229776262150e-01
9.300000000000000488e-01	7.075717177630417298e-01
9.400000000000000577e-01	7.074448851256808224e-01
9.500000000000000666e-01	7.073391909812164480e-01
9.599999999999999645e-01	7.072540184148349285e-01
9.699999999999999734e-01	7.071887672221952581e-01
9.799999999999999822e-01	7.071428534621065909e-01
9.899999999999999911e-01	7.071157090206590112e-01
1.000000000000000000e+00	7.071067811865475727e-01
1.010000000000000009e+00	7.071155322373344765e-01
1.020000000000000018e+00	7.071414390363998104e-01
1.030000000000000027e+00	7.071839926403331589e-01
1.040000000000000036e+00	7.072426979165268301e-01
1.050000000000000044e+00	7.073170731707316694e-01
1.060000000000000053e+00	7.074066497843445323e-01
1.070000000000000062e+00	7.075109718611961585e-01
1.080000000000000071e+00	7.076295958836191780e-01
1.090000000000000080e+00	7.077620903775702077e-01
1.100000000000000089e+00	7.079080355865955410e-01
1.110000000000000098e+00	7.080670231544237136e-01
